Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.4856,0.4820,0.3200,0.1800
1,0.4873,0.4833,0.3200,0.1800
2,0.4890,0.4844,0.3600,0.1800
3,0.4905,0.4855,0.3600,0.2000
4,0.4919,0.4865,0.3600,0.2000
5,0.4932,0.4874,0.4000,0.3000
6,0.4944,0.4882,0.4600,0.3200
7,0.4955,0.4889,0.4800,0.3400
8,0.4965,0.4894,0.4800,0.3400
9,0.4973,0.4899,0.4600,0.3800
10,0.4981,0.4903,0.4600,0.3800
11,0.4987,0.4905,0.4800,0.4200
12,0.4992,0.4907,0.5200,0.4600
13,0.4996,0.4908,0.5600,0.4600
14,0.4999,0.4908,0.5400,0.4600
15,0.5002,0.4908,0.5800,0.4600
16,0.5003,0.4907,0.5800,0.4400
17,0.5004,0.4906,0.6000,0.4200
18,0.5005,0.4905,0.6000,0.4200
19,0.5005,0.4903,0.5800,0.4200
20,0.5005,0.4902,0.5400,0.4200
21,0.5005,0.4900,0.5600,0.4200
22,0.5005,0.4899,0.5600,0.4200
23,0.5005,0.4898,0.5600,0.4200
24,0.5006,0.4897,0.5600,0.4200
25,0.5006,0.4896,0.5600,0.4200
26,0.5007,0.4896,0.5600,0.4400
27,0.5008,0.4896,0.5800,0.4400
28,0.5009,0.4896,0.5800,0.4400
29,0.5010,0.4896,0.5600,0.4400
30,0.5011,0.4896,0.5600,0.4400
31,0.5012,0.4896,0.5400,0.4400
32,0.5014,0.4896,0.5600,0.4400
33,0.5015,0.4897,0.5600,0.4400
34,0.5016,0.4897,0.5400,0.4400
35,0.5017,0.4897,0.5400,0.4400
36,0.5018,0.4897,0.5600,0.4400
37,0.5019,0.4897,0.5400,0.4400
38,0.5020,0.4898,0.5400,0.4200
39,0.5021,0.4898,0.5400,0.4400
40,0.5022,0.4898,0.5400,0.4400
41,0.5023,0.4898,0.5400,0.4600
42,0.5023,0.4898,0.5400,0.4600
43,0.5024,0.4898,0.5400,0.4600
44,0.5024,0.4898,0.5400,0.4600
45,0.5025,0.4898,0.5400,0.4600
46,0.5026,0.4898,0.5600,0.4600
47,0.5026,0.4898,0.5600,0.4600
48,0.5027,0.4899,0.5600,0.4600
49,0.5027,0.4899,0.5600,0.4600
50,0.5028,0.4899,0.5600,0.4600
51,0.5029,0.4900,0.5600,0.4600
52,0.5029,0.4900,0.5400,0.4600
