Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9964,0.2111,0.9886,0.5962
1,0.9855,0.7729,0.9854,0.7550
2,0.9837,0.8494,0.9848,0.7778
3,0.9832,0.8750,0.9846,0.7827
4,0.8950,0.8438,0.8970,0.7927
5,0.8863,0.8903,0.8956,0.8046
6,0.8828,0.9122,0.8903,0.8433
7,0.8825,0.9129,0.8910,0.8393
8,0.6989,0.8913,0.7125,0.8254
9,0.6863,0.9082,0.7233,0.8016
10,0.6805,0.9212,0.7007,0.8621
11,0.6781,0.9272,0.7075,0.8462
12,0.5591,0.9249,0.5915,0.8581
13,0.5498,0.9318,0.5919,0.8571
14,0.5426,0.9432,0.5900,0.8611
15,0.5349,0.9528,0.5968,0.8452
16,0.5357,0.9515,0.5860,0.8671
17,0.5362,0.9501,0.5816,0.8730
18,0.5270,0.9624,0.5859,0.8651
19,0.5253,0.9624,0.5840,0.8681
