Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9987,0.0409,0.9995,0.0248
1,0.9993,0.0263,0.9993,0.0278
2,0.9997,0.0239,0.9998,0.0030
3,0.9998,0.0043,0.9999,0.0020
4,0.9993,0.0057,0.9996,0.0020
5,0.9995,0.0023,0.9997,0.0010
6,0.9995,0.0023,0.9997,0.0010
7,0.9995,0.0023,0.9997,0.0010
8,0.9991,0.0023,0.9995,0.0010
9,0.9989,0.0027,0.9995,0.0010
10,0.9991,0.0023,0.9995,0.0010
11,0.9991,0.0023,0.9995,0.0010
12,0.9989,0.0023,0.9995,0.0010
13,0.9989,0.0023,0.9995,0.0010
14,0.9989,0.0023,0.9995,0.0010
15,0.9989,0.0023,0.9995,0.0010
16,0.9989,0.0023,0.9995,0.0010
17,0.9989,0.0023,0.9995,0.0010
18,0.9989,0.0023,0.9995,0.0010
19,0.9989,0.0023,0.9995,0.0010
