Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9675,0.1782,0.9418,0.2996
1,0.9337,0.3670,0.9218,0.4226
2,0.9173,0.4601,0.9154,0.4484
3,0.9044,0.5529,0.9014,0.5585
4,0.7548,0.6769,0.7321,0.6974
5,0.7230,0.7410,0.7199,0.7262
6,0.7147,0.7573,0.7161,0.7351
7,0.7129,0.7593,0.7212,0.7222
8,0.5844,0.7606,0.5921,0.7401
9,0.5814,0.7663,0.5981,0.7272
10,0.5785,0.7646,0.5962,0.7292
11,0.5753,0.7689,0.5939,0.7351
12,0.5197,0.7776,0.5449,0.7411
13,0.5268,0.7716,0.5559,0.7272
14,0.5252,0.7746,0.5627,0.7232
15,0.5276,0.7743,0.5556,0.7312
16,0.5157,0.7836,0.5380,0.7490
17,0.5151,0.7829,0.5326,0.7500
18,0.5112,0.7869,0.5366,0.7510
19,0.5076,0.7902,0.5411,0.7460
