Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9628,0.1862,0.9349,0.3135
1,0.8862,0.6330,0.8700,0.6687
2,0.8474,0.8464,0.8501,0.8006
3,0.8359,0.8913,0.8460,0.8413
4,0.6139,0.9182,0.6076,0.8720
5,0.5904,0.9428,0.6157,0.8899
6,0.5774,0.9535,0.6194,0.8948
7,0.5696,0.9651,0.6050,0.8938
8,0.3361,0.9584,0.3952,0.8948
9,0.3009,0.9658,0.3836,0.9067
10,0.2730,0.9767,0.4033,0.8968
11,0.2629,0.9764,0.3831,0.8948
12,0.2124,0.9794,0.3567,0.8948
13,0.2087,0.9791,0.3157,0.9127
14,0.1863,0.9844,0.3183,0.9117
15,0.1773,0.9830,0.2985,0.9236
16,0.1611,0.9860,0.2904,0.9216
17,0.1482,0.9880,0.2808,0.9315
18,0.1405,0.9900,0.2827,0.9296
19,0.1404,0.9900,0.2770,0.9286
