Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.4185,0.4656,0.4938,0.5063,0.6289,0.5229,0.1638
1,0.4825,0.5027,0.4812,0.5250,0.5509,0.7214,0.2772
2,0.5084,0.5112,0.5141,0.5625,0.6011,0.8316,0.4377
3,0.5128,0.5116,0.5422,0.5750,0.6066,0.8769,0.4902
4,0.5144,0.5140,0.5344,0.5625,0.5490,0.8816,0.4391
5,0.5161,0.5143,0.5141,0.5312,0.4987,0.8640,0.3718
6,0.5166,0.5154,0.5000,0.5250,0.5110,0.8297,0.3478
7,0.5176,0.5159,0.5016,0.5312,0.5579,0.7918,0.3545
8,0.5176,0.5159,0.5031,0.5312,0.5696,0.7873,0.3614
9,0.5182,0.5166,0.5031,0.5312,0.5404,0.8151,0.3616
10,0.5188,0.5167,0.5078,0.5312,0.5237,0.8395,0.3709
11,0.5191,0.5171,0.5188,0.5437,0.5381,0.8472,0.3932
12,0.5196,0.5175,0.5250,0.5625,0.5567,0.8403,0.4043
13,0.5202,0.5180,0.5250,0.5437,0.5552,0.8245,0.3868
14,0.5208,0.5184,0.5109,0.5312,0.5427,0.8104,0.3606
15,0.5215,0.5189,0.5047,0.5312,0.5400,0.8041,0.3522
16,0.5224,0.5197,0.5063,0.5312,0.5482,0.8047,0.3621
17,0.5235,0.5206,0.5047,0.5312,0.5541,0.8081,0.3730
18,0.5249,0.5216,0.5047,0.5437,0.5684,0.8133,0.3945
19,0.5265,0.5230,0.5109,0.5312,0.5611,0.8087,0.3865
20,0.5289,0.5250,0.4984,0.5250,0.5591,0.7944,0.3754
21,0.5324,0.5282,0.5000,0.5250,0.5659,0.7713,0.3677
22,0.5381,0.5340,0.4938,0.5250,0.5536,0.7306,0.3322
23,0.5471,0.5452,0.4984,0.5250,0.5731,0.6798,0.3340
24,0.5628,0.5667,0.5328,0.5813,0.5919,0.6114,0.3601
25,0.5865,0.5962,0.5719,0.5688,0.5784,0.5635,0.4465
26,0.6105,0.6161,0.5625,0.5562,0.5365,0.5851,0.5927
27,0.6231,0.6277,0.5437,0.5000,0.5528,0.6602,0.7047
28,0.6312,0.6274,0.5031,0.5000,0.5997,0.7529,0.7853
29,0.6288,0.6253,0.5000,0.5000,0.5863,0.7864,0.8037
30,0.6279,0.6267,0.5000,0.5000,0.5595,0.7768,0.7998
31,0.6300,0.6298,0.5000,0.5063,0.5782,0.6989,0.8054
32,0.6320,0.6308,0.5297,0.5125,0.5437,0.6681,0.7852
33,0.6325,0.6320,0.5063,0.5063,0.5388,0.6777,0.7754
34,0.6345,0.6332,0.5141,0.5000,0.5591,0.7067,0.7764
35,0.6356,0.6335,0.5000,0.5000,0.5455,0.7421,0.7622
36,0.6368,0.6354,0.5000,0.5000,0.5563,0.7075,0.7590
37,0.6383,0.6364,0.5109,0.5063,0.5539,0.6869,0.7501
38,0.6394,0.6377,0.5078,0.5000,0.5542,0.7085,0.7413
39,0.6408,0.6385,0.5109,0.5000,0.5706,0.7117,0.7386
40,0.6418,0.6398,0.5109,0.5063,0.5568,0.6979,0.7209
41,0.6429,0.6412,0.5266,0.5188,0.5620,0.6778,0.7094
42,0.6442,0.6428,0.5437,0.5125,0.5733,0.6887,0.7024
43,0.6457,0.6444,0.5547,0.5312,0.5812,0.6908,0.6963
44,0.6474,0.6466,0.5797,0.5562,0.5874,0.6715,0.6964
45,0.6495,0.6484,0.5906,0.5562,0.5925,0.6826,0.7093
46,0.6514,0.6501,0.5922,0.5938,0.6011,0.6804,0.7160
47,0.6532,0.6523,0.6109,0.6125,0.6039,0.6665,0.7064
48,0.6550,0.6541,0.6328,0.6375,0.6077,0.6726,0.7008
49,0.6568,0.6563,0.6469,0.6438,0.6083,0.6615,0.7023
50,0.6587,0.6580,0.6422,0.6500,0.6110,0.6653,0.7143
51,0.6605,0.6602,0.6469,0.6500,0.6110,0.6589,0.7119
52,0.6624,0.6622,0.6562,0.6625,0.6146,0.6546,0.7077
53,0.6643,0.6642,0.6656,0.6750,0.6152,0.6530,0.7094
54,0.6662,0.6662,0.6687,0.6625,0.6198,0.6476,0.7148
55,0.6682,0.6684,0.6766,0.6875,0.6209,0.6460,0.7105
56,0.6703,0.6706,0.6828,0.6938,0.6254,0.6406,0.7089
57,0.6724,0.6728,0.6906,0.7000,0.6277,0.6374,0.7110
58,0.6745,0.6751,0.6953,0.7063,0.6315,0.6333,0.7103
59,0.6767,0.6777,0.7094,0.7188,0.6352,0.6269,0.7064
60,0.6790,0.6800,0.7125,0.7312,0.6385,0.6234,0.7064
61,0.6812,0.6825,0.7281,0.7437,0.6421,0.6169,0.7043
62,0.6835,0.6849,0.7344,0.7500,0.6457,0.6136,0.7017
63,0.6859,0.6874,0.7437,0.7625,0.6491,0.6079,0.7005
64,0.6883,0.6899,0.7516,0.7625,0.6530,0.6037,0.6974
65,0.6907,0.6926,0.7609,0.7750,0.6567,0.5969,0.6935
66,0.6933,0.6952,0.7672,0.7875,0.6597,0.5918,0.6909
67,0.6958,0.6981,0.7797,0.7937,0.6617,0.5860,0.6866
68,0.6984,0.7008,0.7859,0.8062,0.6644,0.5804,0.6837
69,0.7011,0.7038,0.7969,0.8125,0.6677,0.5736,0.6785
70,0.7038,0.7066,0.8078,0.8313,0.6715,0.5668,0.6744
71,0.7065,0.7096,0.8141,0.8438,0.6739,0.5609,0.6699
72,0.7093,0.7126,0.8250,0.8438,0.6765,0.5549,0.6658
73,0.7121,0.7156,0.8297,0.8562,0.6794,0.5488,0.6612
74,0.7149,0.7186,0.8344,0.8750,0.6823,0.5425,0.6563
75,0.7177,0.7216,0.8422,0.8750,0.6850,0.5368,0.6518
76,0.7206,0.7246,0.8547,0.8750,0.6872,0.5309,0.6470
77,0.7234,0.7277,0.8625,0.8750,0.6901,0.5251,0.6424
78,0.7263,0.7307,0.8719,0.8750,0.6928,0.5190,0.6375
79,0.7292,0.7337,0.8781,0.8813,0.6954,0.5134,0.6328
80,0.7321,0.7368,0.8813,0.8938,0.6980,0.5075,0.6282
81,0.7350,0.7398,0.8859,0.9000,0.7007,0.5018,0.6234
82,0.7378,0.7428,0.8922,0.9000,0.7035,0.4960,0.6187
83,0.7407,0.7458,0.8938,0.9062,0.7062,0.4902,0.6139
84,0.7436,0.7488,0.9016,0.9062,0.7088,0.4846,0.6091
85,0.7464,0.7518,0.9031,0.9187,0.7115,0.4788,0.6043
86,0.7492,0.7547,0.9078,0.9312,0.7142,0.4731,0.5995
87,0.7520,0.7576,0.9125,0.9375,0.7169,0.4674,0.5946
88,0.7548,0.7605,0.9156,0.9375,0.7196,0.4617,0.5898
89,0.7576,0.7634,0.9187,0.9375,0.7222,0.4561,0.5851
90,0.7604,0.7663,0.9219,0.9375,0.7249,0.4505,0.5802
91,0.7631,0.7691,0.9281,0.9375,0.7276,0.4450,0.5755
92,0.7658,0.7719,0.9297,0.9563,0.7302,0.4396,0.5708
93,0.7685,0.7746,0.9328,0.9563,0.7328,0.4343,0.5661
94,0.7711,0.7774,0.9344,0.9563,0.7354,0.4291,0.5614
95,0.7738,0.7801,0.9344,0.9563,0.7380,0.4240,0.5568
96,0.7763,0.7828,0.9359,0.9563,0.7405,0.4188,0.5521
97,0.7789,0.7854,0.9359,0.9563,0.7431,0.4138,0.5475
98,0.7815,0.7880,0.9375,0.9563,0.7457,0.4088,0.5428
99,0.7840,0.7906,0.9375,0.9563,0.7482,0.4040,0.5383
100,0.7864,0.7932,0.9375,0.9563,0.7507,0.3992,0.5337
101,0.7889,0.7957,0.9391,0.9625,0.7531,0.3946,0.5294
102,0.7913,0.7982,0.9391,0.9625,0.7555,0.3900,0.5249
103,0.7937,0.8006,0.9422,0.9563,0.7578,0.3856,0.5206
104,0.7960,0.8030,0.9406,0.9563,0.7601,0.3813,0.5164
105,0.7984,0.8054,0.9453,0.9563,0.7623,0.3770,0.5122
106,0.8006,0.8077,0.9453,0.9563,0.7643,0.3729,0.5080
107,0.8029,0.8101,0.9453,0.9563,0.7663,0.3689,0.5040
108,0.8051,0.8123,0.9469,0.9563,0.7683,0.3649,0.4999
109,0.8073,0.8146,0.9469,0.9563,0.7702,0.3610,0.4959
110,0.8094,0.8168,0.9500,0.9563,0.7720,0.3571,0.4919
111,0.8115,0.8190,0.9516,0.9563,0.7738,0.3533,0.4880
112,0.8136,0.8211,0.9531,0.9563,0.7756,0.3495,0.4840
113,0.8156,0.8232,0.9531,0.9563,0.7772,0.3459,0.4801
114,0.8176,0.8253,0.9547,0.9563,0.7788,0.3423,0.4763
115,0.8196,0.8274,0.9547,0.9563,0.7804,0.3387,0.4725
116,0.8216,0.8294,0.9563,0.9563,0.7818,0.3354,0.4687
117,0.8235,0.8314,0.9563,0.9563,0.7832,0.3320,0.4648
118,0.8254,0.8334,0.9563,0.9563,0.7845,0.3289,0.4609
119,0.8273,0.8354,0.9578,0.9625,0.7857,0.3258,0.4567
120,0.8291,0.8373,0.9578,0.9625,0.7870,0.3227,0.4525
121,0.8309,0.8392,0.9578,0.9688,0.7882,0.3195,0.4484
122,0.8326,0.8411,0.9594,0.9688,0.7897,0.3163,0.4445
123,0.8344,0.8430,0.9625,0.9688,0.7914,0.3130,0.4409
124,0.8360,0.8448,0.9625,0.9750,0.7930,0.3097,0.4374
125,0.8377,0.8466,0.9625,0.9750,0.7947,0.3064,0.4341
126,0.8392,0.8483,0.9625,0.9750,0.7966,0.3032,0.4310
127,0.8408,0.8500,0.9625,0.9812,0.7984,0.3000,0.4283
128,0.8423,0.8516,0.9625,0.9812,0.8002,0.2969,0.4257
129,0.8438,0.8532,0.9641,0.9812,0.8018,0.2939,0.4232
130,0.8452,0.8548,0.9641,0.9812,0.8034,0.2909,0.4208
131,0.8466,0.8562,0.9656,0.9812,0.8049,0.2880,0.4184
132,0.8479,0.8577,0.9656,0.9812,0.8064,0.2851,0.4161
133,0.8492,0.8591,0.9656,0.9812,0.8078,0.2824,0.4138
134,0.8505,0.8605,0.9672,0.9812,0.8092,0.2797,0.4115
135,0.8517,0.8618,0.9672,0.9812,0.8105,0.2770,0.4093
136,0.8529,0.8631,0.9672,0.9812,0.8118,0.2744,0.4071
137,0.8540,0.8644,0.9672,0.9812,0.8130,0.2718,0.4049
138,0.8552,0.8656,0.9672,0.9812,0.8142,0.2692,0.4028
139,0.8562,0.8668,0.9672,0.9812,0.8154,0.2666,0.4007
140,0.8573,0.8680,0.9672,0.9812,0.8166,0.2639,0.3986
141,0.8583,0.8692,0.9672,0.9812,0.8179,0.2610,0.3965
142,0.8593,0.8704,0.9672,0.9812,0.8193,0.2578,0.3943
143,0.8603,0.8717,0.9672,0.9812,0.8208,0.2544,0.3923
144,0.8613,0.8729,0.9688,0.9812,0.8222,0.2510,0.3904
145,0.8622,0.8741,0.9688,0.9812,0.8232,0.2478,0.3885
146,0.8631,0.8753,0.9688,0.9812,0.8239,0.2449,0.3867
147,0.8640,0.8764,0.9688,0.9812,0.8245,0.2419,0.3849
148,0.8649,0.8776,0.9703,0.9812,0.8252,0.2388,0.3831
149,0.8657,0.8788,0.9703,0.9812,0.8261,0.2354,0.3815
150,0.8666,0.8801,0.9703,0.9812,0.8270,0.2317,0.3799
151,0.8675,0.8815,0.9703,0.9812,0.8278,0.2275,0.3784
152,0.8686,0.8830,0.9703,0.9812,0.8288,0.2214,0.3769
153,0.8696,0.8847,0.9734,0.9812,0.8303,0.2158,0.3750
154,0.8708,0.8861,0.9734,0.9812,0.8322,0.2129,0.3732
155,0.8718,0.8868,0.9703,0.9812,0.8327,0.2097,0.3716
156,0.8726,0.8876,0.9719,0.9812,0.8316,0.2104,0.3699
157,0.8735,0.8883,0.9719,0.9812,0.8287,0.2098,0.3674
