Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.4138,0.4560,0.4953,0.5188,0.5706,0.4172,0.1666
1,0.4713,0.4889,0.4625,0.5125,0.4658,0.5288,0.3041
2,0.4942,0.4964,0.5250,0.5625,0.4842,0.5478,0.4828
3,0.4989,0.4972,0.5578,0.5625,0.5493,0.5644,0.5493
4,0.5001,0.4980,0.5562,0.5875,0.5216,0.5516,0.5216
5,0.5006,0.4984,0.5562,0.5688,0.4820,0.5487,0.4820
6,0.5016,0.5004,0.5375,0.5562,0.4759,0.5490,0.4759
7,0.5032,0.5010,0.5375,0.5625,0.4698,0.5508,0.4694
8,0.5034,0.5015,0.5344,0.5688,0.4397,0.5585,0.4329
9,0.5042,0.5019,0.5328,0.5500,0.4085,0.5724,0.3991
10,0.5046,0.5024,0.5234,0.5625,0.4159,0.5681,0.4112
11,0.5054,0.5030,0.5375,0.5750,0.4551,0.5564,0.4540
12,0.5059,0.5032,0.5531,0.5750,0.4718,0.5546,0.4718
13,0.5066,0.5038,0.5469,0.5750,0.4523,0.5581,0.4520
14,0.5074,0.5044,0.5406,0.5813,0.4360,0.5629,0.4343
15,0.5084,0.5053,0.5359,0.5813,0.4384,0.5636,0.4343
16,0.5097,0.5063,0.5391,0.5750,0.4375,0.5647,0.4309
17,0.5112,0.5076,0.5375,0.5813,0.4243,0.5688,0.4172
18,0.5132,0.5092,0.5375,0.5938,0.4421,0.5649,0.4374
19,0.5158,0.5114,0.5547,0.5938,0.4460,0.5656,0.4398
20,0.5195,0.5150,0.5312,0.5688,0.4207,0.5735,0.4023
21,0.5250,0.5206,0.5250,0.5688,0.4401,0.5595,0.3869
22,0.5333,0.5307,0.5219,0.5375,0.4520,0.5420,0.3348
23,0.5464,0.5491,0.5609,0.5688,0.4957,0.4933,0.2902
24,0.5650,0.5699,0.5281,0.5375,0.5415,0.4462,0.3482
25,0.5799,0.5821,0.5547,0.5688,0.4550,0.5280,0.4504
26,0.5909,0.5896,0.5453,0.5750,0.4516,0.5675,0.5389
27,0.5941,0.5894,0.5656,0.5688,0.4513,0.5695,0.5647
28,0.5948,0.5911,0.5156,0.5063,0.4056,0.5824,0.6069
29,0.5948,0.5919,0.5312,0.5562,0.4696,0.5356,0.5942
30,0.5958,0.5944,0.5797,0.5625,0.4529,0.5575,0.5875
31,0.5988,0.5956,0.5453,0.5688,0.4362,0.5734,0.5851
32,0.6014,0.5987,0.5969,0.5875,0.4817,0.5476,0.5885
33,0.6037,0.6007,0.6016,0.5875,0.4605,0.5493,0.5794
34,0.6054,0.6017,0.5859,0.6000,0.4698,0.5582,0.5714
35,0.6070,0.6036,0.6203,0.5938,0.4764,0.5516,0.5687
36,0.6089,0.6054,0.5922,0.5938,0.4639,0.5476,0.5662
37,0.6103,0.6069,0.6094,0.6125,0.4832,0.5435,0.5754
38,0.6119,0.6083,0.6125,0.6000,0.4729,0.5567,0.5796
39,0.6135,0.6106,0.6328,0.6062,0.4893,0.5408,0.5932
40,0.6152,0.6122,0.6313,0.6062,0.4812,0.5489,0.5971
41,0.6167,0.6137,0.6344,0.6062,0.4904,0.5480,0.6003
42,0.6182,0.6157,0.6391,0.6062,0.4863,0.5439,0.6049
43,0.6199,0.6175,0.6438,0.6187,0.4923,0.5443,0.6075
44,0.6218,0.6196,0.6453,0.6187,0.4907,0.5454,0.6093
45,0.6239,0.6223,0.6578,0.6562,0.4968,0.5369,0.6060
46,0.6262,0.6251,0.6750,0.6938,0.4985,0.5363,0.5879
47,0.6284,0.6277,0.7000,0.7375,0.5138,0.5206,0.5667
48,0.6307,0.6307,0.7219,0.7437,0.5213,0.5127,0.5662
49,0.6335,0.6336,0.7297,0.7500,0.5294,0.5016,0.5824
50,0.6363,0.6370,0.7297,0.7625,0.5348,0.4863,0.5812
51,0.6391,0.6398,0.7469,0.7688,0.5382,0.4822,0.5753
52,0.6415,0.6427,0.7531,0.7750,0.5440,0.4683,0.5746
53,0.6439,0.6448,0.7531,0.7750,0.5415,0.4733,0.5809
54,0.6463,0.6476,0.7547,0.7812,0.5437,0.4665,0.5817
55,0.6488,0.6502,0.7656,0.7875,0.5471,0.4639,0.5796
56,0.6513,0.6531,0.7750,0.7875,0.5487,0.4592,0.5762
57,0.6540,0.6555,0.7812,0.7875,0.5507,0.4571,0.5808
58,0.6566,0.6584,0.7906,0.8000,0.5514,0.4550,0.5782
59,0.6594,0.6612,0.7969,0.8188,0.5565,0.4503,0.5775
60,0.6620,0.6642,0.8062,0.8188,0.5576,0.4476,0.5757
61,0.6648,0.6668,0.8156,0.8250,0.5599,0.4458,0.5784
62,0.6675,0.6699,0.8281,0.8313,0.5622,0.4415,0.5759
63,0.6704,0.6728,0.8375,0.8313,0.5649,0.4385,0.5754
64,0.6732,0.6759,0.8453,0.8500,0.5671,0.4342,0.5753
65,0.6761,0.6788,0.8547,0.8438,0.5698,0.4315,0.5742
66,0.6790,0.6820,0.8625,0.8625,0.5741,0.4255,0.5724
67,0.6820,0.6851,0.8672,0.8625,0.5769,0.4224,0.5713
68,0.6850,0.6884,0.8703,0.8687,0.5808,0.4173,0.5699
69,0.6880,0.6916,0.8750,0.8750,0.5851,0.4120,0.5675
70,0.6911,0.6949,0.8781,0.8813,0.5897,0.4062,0.5647
71,0.6943,0.6983,0.8813,0.8938,0.5958,0.3985,0.5602
72,0.6975,0.7018,0.8891,0.9062,0.6046,0.3876,0.5543
73,0.7007,0.7053,0.8969,0.9187,0.6079,0.3827,0.5515
74,0.7041,0.7090,0.8969,0.9125,0.6078,0.3835,0.5493
75,0.7074,0.7126,0.9016,0.9187,0.6113,0.3791,0.5470
76,0.7107,0.7162,0.9062,0.9187,0.6169,0.3728,0.5402
77,0.7141,0.7198,0.9078,0.9312,0.6236,0.3652,0.5348
78,0.7175,0.7237,0.9094,0.9312,0.6257,0.3636,0.5310
79,0.7209,0.7275,0.9109,0.9312,0.6292,0.3607,0.5274
80,0.7243,0.7310,0.9219,0.9375,0.6350,0.3551,0.5214
81,0.7277,0.7347,0.9234,0.9375,0.6393,0.3514,0.5167
82,0.7311,0.7384,0.9234,0.9375,0.6426,0.3492,0.5129
83,0.7345,0.7419,0.9250,0.9438,0.6463,0.3464,0.5089
84,0.7379,0.7456,0.9250,0.9500,0.6513,0.3425,0.5040
85,0.7413,0.7490,0.9266,0.9500,0.6549,0.3401,0.5012
86,0.7446,0.7526,0.9266,0.9500,0.6583,0.3375,0.4972
87,0.7479,0.7558,0.9297,0.9500,0.6627,0.3342,0.4949
88,0.7511,0.7592,0.9344,0.9563,0.6665,0.3308,0.4913
89,0.7544,0.7625,0.9375,0.9563,0.6694,0.3287,0.4886
90,0.7577,0.7658,0.9375,0.9563,0.6731,0.3254,0.4851
91,0.7608,0.7689,0.9406,0.9563,0.6762,0.3227,0.4822
92,0.7640,0.7721,0.9453,0.9563,0.6795,0.3196,0.4786
93,0.7671,0.7753,0.9469,0.9563,0.6826,0.3166,0.4757
94,0.7701,0.7784,0.9469,0.9625,0.6848,0.3142,0.4720
95,0.7731,0.7813,0.9484,0.9625,0.6870,0.3117,0.4685
96,0.7760,0.7843,0.9516,0.9625,0.6900,0.3085,0.4653
